student_id,name,gender,age,residency_status,first_gen,major,cumulative_gpa,credits_completed
1,Derek Nielsen,M,27,domestic,0,Economics,2.7,8
2,Bradley Bernard,F,21,domestic,0,Mathematics,2.56,39
3,Brenda Vega,F,19,domestic,1,Mathematics,3.06,33
4,Cynthia Wilson,F,22,domestic,0,Business Analytics,1.25,67
5,Andre Lewis,M,20,domestic,1,Mechanical Eng,3.23,47
6,Eduardo Wells,M,19,domestic,0,Marketing,2.28,32
7,Denise Smith,M,23,domestic,1,Sociology,3.81,82
8,Abigail Holland,F,17,domestic,1,Economics,3.27,29
9,Amanda Stewart,F,17,domestic,0,Accounting,3.35,21
10,Gabrielle Ward,F,22,domestic,0,Mathematics,3.36,63
11,Brandon Anderson,M,21,domestic,0,Computer Science,2.52,31
12,Tiffany Larsen,Other,23,domestic,1,Political Science,2.64,47
13,Christian Oconnell,F,28,international,0,Finance,1.78,97
14,Jack White,M,22,domestic,0,Nursing,3.7,30
15,Jane Lopez,M,24,domestic,0,Biology,2.03,16
16,James Williams,M,18,domestic,0,Political Science,2.79,39
17,Amanda Chavez,M,24,domestic,0,Biology,3.54,36
18,Nicholas Allen,F,20,domestic,0,Nursing,3.72,68
19,David Campbell,M,22,domestic,0,Business Analytics,2.65,4
20,Kim Lucas,M,21,domestic,1,Electrical Eng,1.78,126
21,Robert Wilson,F,25,domestic,0,Information Systems,2.94,23
22,Scott Smith,M,17,domestic,0,Business Analytics,3.0,61
23,James Obrien,M,17,international,1,Electrical Eng,3.05,73
24,Robert Carter,M,21,domestic,1,Mathematics,2.62,51
25,Sandra Boyle,M,23,domestic,1,Accounting,2.72,64
26,Heather Hayes,F,22,domestic,0,Economics,2.38,47
27,Michael Rivas,M,26,international,0,Sociology,2.9,64
28,Rose Cross,F,23,domestic,0,Chemistry,3.28,32
29,Tracey French,F,20,domestic,1,Business Analytics,2.96,25
30,Ronald Castillo,M,17,domestic,0,Nursing,2.77,0
31,John Lopez,F,21,domestic,0,Mathematics,3.47,58
32,Curtis Joseph,M,25,international,0,Accounting,2.95,35
33,Robert Sanders,M,20,domestic,0,Finance,2.82,56
34,Amber Navarro,F,22,domestic,0,Business Analytics,2.85,35
35,Hannah Bishop,Other,23,domestic,0,Electrical Eng,2.07,82
36,Jeanette Espinoza,F,18,domestic,0,Mathematics,2.15,40
37,John Carter,M,24,domestic,0,Nursing,2.73,26
38,Thomas Hernandez,M,27,domestic,1,Psychology,2.36,33
39,Anthony Herrera,F,21,domestic,1,Economics,2.77,60
40,Benjamin Hebert,M,18,domestic,1,Computer Science,3.31,130
41,Kevin Taylor,M,21,international,1,Computer Science,3.22,86
42,Charles Howard,F,17,domestic,0,Information Systems,3.04,9
43,Julia Moore,M,23,domestic,0,Mechanical Eng,3.31,52
44,Jared Hawkins,F,23,domestic,0,Electrical Eng,3.42,21
45,Kaylee Frederick,M,27,domestic,0,Sociology,3.4,33
46,Derrick Kelly,F,21,domestic,0,Accounting,3.38,36
47,Wendy Hanson,M,23,domestic,0,Business Analytics,2.08,42
48,David Rich,F,18,domestic,0,Chemistry,1.67,71
49,Matthew Hunter,F,20,domestic,0,Computer Science,2.33,37
50,Matthew Adams,M,17,international,0,Sociology,2.53,50
51,Patrick Oconnell,Other,21,domestic,0,Biology,3.36,45
52,Keith Hall,F,20,domestic,1,Chemistry,2.74,24
53,Catherine Cooper,F,23,international,0,Finance,2.51,29
54,Gregory Jennings,F,19,domestic,0,Biology,2.9,27
55,Charles Vincent,F,22,domestic,0,Computer Science,3.12,65
56,Darlene Weaver,F,20,domestic,0,Mathematics,3.27,34
57,Gary Decker,M,20,domestic,0,Finance,2.55,98
58,Jason Fuller,M,22,domestic,0,Mathematics,2.23,22
59,Ronnie Espinoza,M,22,domestic,0,Mathematics,2.33,21
60,Samuel Mullins,M,24,domestic,0,Electrical Eng,2.87,13
61,Anthony Young,M,21,domestic,1,Chemistry,2.17,42
62,David Porter,M,20,domestic,1,Business Analytics,3.37,29
63,Ethan Hall,F,21,domestic,0,Biology,2.17,34
64,Jennifer Roberson,M,19,domestic,0,Political Science,1.87,76
65,Jennifer Schmitt,M,20,domestic,1,Sociology,2.89,40
66,Tracy Walker,F,29,domestic,0,Electrical Eng,2.63,34
67,Marisa Ochoa,M,18,domestic,0,Mathematics,3.08,54
68,Robert Lee,F,21,domestic,0,Political Science,2.5,51
69,Kelli Kerr,M,20,domestic,1,Sociology,3.04,68
70,James Harrison,Other,21,domestic,0,Finance,3.4,70
71,Michael Johnson,F,20,international,0,Marketing,2.43,59
72,Karen Simmons,M,22,domestic,1,Information Systems,3.11,73
73,Faith Poole,M,17,domestic,0,English,3.88,25
74,Eric Graham,F,25,domestic,0,English,3.26,41
75,Scott Durham,F,24,international,1,Nursing,2.32,49
76,Tara Robinson,F,17,domestic,0,Marketing,3.0,48
77,Daniel Moore,F,17,domestic,0,Mechanical Eng,2.02,130
78,Robert Thomas,M,18,domestic,0,Finance,2.11,78
79,Joshua Esparza,M,21,domestic,0,English,3.7,77
80,Katherine Gordon,M,31,international,0,English,3.04,36
81,John Andersen,F,23,domestic,0,Nursing,3.72,43
82,Victoria Stone,F,17,domestic,0,Electrical Eng,3.06,68
83,Cynthia Anderson,M,19,domestic,1,Accounting,2.47,90
84,Richard Fletcher,M,21,domestic,0,Computer Science,2.83,19
85,Maureen Shields,M,22,domestic,0,Accounting,2.96,31
86,Christopher Massey,M,17,domestic,0,Sociology,4.0,39
87,Richard Rodriguez,F,21,domestic,1,Marketing,3.22,53
88,Susan Hubbard,F,19,domestic,0,Information Systems,2.35,68
89,Joseph Evans,F,18,domestic,0,Political Science,2.68,67
90,Wayne Acevedo,M,22,domestic,0,Sociology,3.08,59
91,Matthew Harvey,M,24,domestic,0,Electrical Eng,2.15,22
92,Rodney Davis,F,24,domestic,0,Information Systems,2.79,40
93,Helen Watkins,F,24,domestic,1,Psychology,2.68,5
94,Maxwell Ford,F,20,domestic,0,Chemistry,3.09,74
95,Ashley Johnson,F,24,domestic,0,Political Science,2.74,46
96,Mitchell Johnson,F,23,domestic,0,Sociology,1.96,10
97,Tommy Johnson,F,22,domestic,1,Business Analytics,2.77,116
98,Kenneth Davis,M,19,domestic,0,Chemistry,3.26,0
99,Cheryl George,M,20,domestic,0,Business Analytics,3.67,43
100,Brent Rogers,M,22,domestic,0,Electrical Eng,3.38,84
101,Joshua Bennett,M,30,international,0,Computer Science,1.84,30
102,Chad Richardson,F,23,domestic,0,Nursing,2.0,50
103,Nathaniel Porter,M,19,international,0,Accounting,2.17,59
104,Deborah Pacheco,F,19,domestic,0,Information Systems,3.7,0
105,Matthew Willis,F,20,domestic,0,Chemistry,3.1,12
106,Michael Chandler,M,29,domestic,0,Economics,4.0,43
107,Michael Gill,M,20,domestic,0,Finance,3.57,43
108,Michelle Mcdonald,F,25,domestic,0,Mathematics,2.86,5
109,Ricky Floyd,M,20,domestic,1,Marketing,2.53,44
110,Gabrielle Collins,M,22,domestic,1,Mechanical Eng,3.02,61
111,David Sanders,M,24,domestic,1,Mechanical Eng,3.3,84
112,Ashley Lewis,M,19,domestic,1,Finance,3.53,51
113,James Jackson,F,19,domestic,0,Mathematics,2.63,18
114,Brooke Collins,F,27,domestic,1,Psychology,4.0,62
115,Audrey Murphy,F,25,domestic,0,Electrical Eng,2.77,66
116,Andrew Snow,F,24,domestic,0,Information Systems,3.51,40
117,Sara Gutierrez,F,24,domestic,0,Sociology,3.0,34
118,Wendy Green,M,23,domestic,0,Accounting,2.59,31
119,Carly Peterson,F,29,domestic,1,Economics,1.62,64
120,David Nichols,F,22,domestic,0,Chemistry,2.06,41
121,Stephen Goodman,F,24,domestic,0,English,3.51,55
122,Tony Williams,F,17,domestic,1,Chemistry,3.25,23
123,Janet Martinez,M,19,domestic,0,Computer Science,3.16,47
124,Lisa Gutierrez,M,17,domestic,0,Political Science,3.73,12
125,Timothy Morgan,M,26,domestic,1,Chemistry,2.21,27
126,Sean Mcmillan,M,17,domestic,0,Marketing,2.52,46
127,Mark Pollard,F,20,domestic,0,Accounting,2.56,23
128,Melissa Black,F,17,domestic,0,Finance,2.0,33
129,Todd Jones,M,19,domestic,0,Mathematics,2.32,68
130,Bradley Freeman,F,20,domestic,1,English,2.16,36
131,Barbara Cruz,M,26,international,0,Mechanical Eng,1.86,34
132,Andrew Allen,M,23,domestic,0,Business Analytics,2.26,18
133,Edward Taylor,M,19,domestic,0,Political Science,2.76,29
134,Cindy Sullivan,M,25,domestic,0,Mechanical Eng,3.87,45
135,Jeremy Miller,F,22,domestic,1,Electrical Eng,2.19,64
136,Elizabeth Martin,M,22,domestic,0,Computer Science,3.44,0
137,Michael Taylor,F,17,domestic,0,Finance,2.93,69
138,John Merritt,F,18,domestic,0,Psychology,3.06,34
139,David Ingram,M,19,domestic,0,Accounting,2.89,42
140,Pamela Rodriguez,Other,22,domestic,1,Marketing,1.69,66
141,Denise Thomas,Other,22,domestic,0,Chemistry,2.17,112
142,Dylan Kaiser,M,27,domestic,0,Chemistry,3.14,61
143,Lisa Fuentes,F,23,international,0,Information Systems,2.83,30
144,Adrienne Brown,M,17,domestic,1,Computer Science,1.81,51
145,Brianna Mercer,M,22,domestic,0,Finance,2.67,58
146,Brooke Adams,M,17,domestic,1,Mathematics,3.16,3
147,Peter Knight,F,18,domestic,0,Information Systems,2.05,12
148,Natalie Williams,F,19,domestic,1,Business Analytics,2.56,57
149,Christina Ramos,M,19,domestic,0,Biology,3.71,61
150,Daniel Stokes,M,17,domestic,0,Electrical Eng,3.15,56
151,Mary Mejia,F,22,domestic,0,Political Science,3.75,65
152,Crystal Bush,M,17,domestic,0,Marketing,2.57,34
153,Michelle Green,M,23,domestic,1,Economics,3.45,77
154,Angela King,F,29,domestic,1,Business Analytics,2.18,100
155,Heather Norris,Other,17,domestic,0,Mathematics,3.3,26
